FIPS,expected population,net migrants,migration rate
18003,358799,-3251,-6.3
18005,75244,1416,29.6
18007,9688,-864,-92.0
18009,13998,-1288,-113.19999999999996
18011,48517,7937,255.0
18013,14738,417,74.50000000000001
18015,20523,-447,-12.699999999999992
18017,42352,-3393,-94.6
18019,100586,9529,124.2
18021,26806,-32,-8.800000000000002
18023,35352,-2122,-88.2
18025,10806,-145,-21.400000000000013
18027,31690,-100,-8.2
18029,48615,1236,35.59999999999999
18031,25740,-98,-19.099999999999994
18033,42367,-283,-20.3
18035,119697,-2339,39.6
18037,41353,430,8.326672684688674e-17
18039,201474,-3530,-30.999999999999996
18041,25590,-1410,-77.89999999999998
18043,72454,1925,40.00000000000001
18045,18063,-898,-76.39999999999998
18047,22998,-14,7.4999999999999964
18049,20788,-18,-5.699999999999997
18051,32996,394,26.0
18053,73684,-3782,-51.3
18055,33391,-367,-5.700000000000002
18057,208248,65962,500.5
18059,58640,11119,284.7
18061,35742,3466,112.80000000000004
18063,112369,32872,426.00000000000006
18065,48128,1173,43.4
18067,87498,-4943,-88.7
18069,38695,-1712,-65.30000000000001
18071,42910,-623,-31.7
18073,31266,2113,79.6
18075,22396,-1210,-63.2
18077,32156,143,5.200000000000001
18079,28864,-441,-21.500000000000004
18081,122054,17251,165.2
18083,39094,-802,-7.30000000000001
18085,79089,-1863,-30.9
18089,507200,-8884,-11.500000000000005
18091,113111,-1584,-13.8
18093,46163,-224,-11.1
18095,134881,-3390,-22.700000000000006
18097,937814,-30348,-16.900000000000006
18099,47358,-386,-21.5
18101,10586,-299,-24.499999999999996
18103,37206,-329,1.4999999999999978
18105,125111,12547,415.3999999999999
18107,38510,-495,-19.1
18109,69407,-788,-7.099999999999995
18111,14525,-338,-31.79999999999999
18113,49363,-1873,-65.7
18115,5639,448,96.4
18117,19548,203,3.200000000000003
18119,21970,-500,-27.899999999999984
18121,17298,-43,44.0
18123,19049,239,15.4
18125,12810,-32,-0.6999999999999941
18127,152724,11367,115.2
18129,27343,-1547,-28.7
18131,13760,-416,-40.89999999999999
18133,36908,977,56.99999999999999
18135,27653,-1574,-67.4
18137,27761,943,26.2
18139,18508,-1191,-87.0
18141,279230,-12176,-53.70000000000001
18143,23563,512,-0.7000000000000028
18145,44738,-444,-17.099999999999994
18147,20877,-20,8.3
18149,23783,-515,-31.3
18151,34373,-327,-30.800000000000004
18153,21595,-150,-10.7
18155,9292,1272,179.8
18157,159657,13068,277.29999999999995
18159,16656,-798,-55.9
18161,7548,-77,-2.4999999999999964
18163,176460,2965,24.599999999999994
18165,16348,-222,-31.100000000000005
18167,107372,355,26.099999999999994
18169,34853,-2096,-95.3
18171,8470,-8,19.3
18173,54268,5199,133.8
18175,27915,227,11.899999999999995
18177,71765,-3017,-58.30000000000001
18179,28409,-880,-50.39999999999999
18181,25857,-1281,-83.3
18183,31837,1318,43.29999999999999
19001,7805,-165,-13.900000000000004
19003,4345,-340,-79.59999999999998
19005,14911,-625,-69.69999999999999
19007,13434,-605,-79.1
19009,6473,-391,-52.6
19011,26063,-92,28.50000000000001
19013,133251,-2301,21.90000000000001
19015,26244,-48,6.100000000000003
19017,23554,612,71.4
19019,22033,-1149,-53.5
19021,21163,-845,-27.5
19023,14926,-131,-1.7000000000000035
19025,10628,-1009,-134.9
19027,21644,-906,-46.29999999999998
19029,14332,-437,-37.00000000000001
19031,18371,49,33.7
19033,46117,-2128,-71.1
19035,12550,-538,-45.5
19037,13172,-786,-60.100000000000016
19039,9374,-107,-13.6
19041,17549,-941,-88.19999999999997
19043,18491,-445,-23.500000000000004
19045,50557,-1597,-42.6
19047,17502,-357,0.9000000000000075
19049,45243,20853,677.6000000000001
19051,8944,-226,-30.1
19053,8704,-286,9.59999999999999
19055,18748,-1059,-37.90000000000001
19057,43089,-2865,-81.69999999999997
19059,16164,412,18.8
19061,92150,1214,9.899999999999997
19063,11041,-763,-76.3
19065,21595,-799,-50.7
19067,16759,-526,-45.10000000000001
19069,10657,4,29.7
19071,7887,-485,-46.1
19073,10127,-839,-80.29999999999998
19075,12152,240,81.59999999999998
19077,11171,-272,3.4000000000000004
19079,16423,-801,-48.8
19081,12035,-738,-57.50000000000001
19083,18313,-849,-72.0
19085,15474,-614,-47.6
19087,20542,-451,-50.49999999999999
19089,9870,-343,-30.8
19091,10237,-457,-19.500000000000004
19093,7641,-586,-73.2
19095,15906,375,53.3
19097,20169,-420,-17.200000000000006
19099,37792,-1069,-25.9
19101,16121,648,38.1
19103,120794,9995,261.5
19105,20450,120,5.600000000000002
19107,11380,-916,-90.79999999999998
19109,16853,-1384,-80.09999999999998
19111,37563,-1797,-51.8
19113,203930,6854,47.8
19115,12495,-1106,-107.8
19117,9359,-505,-62.49999999999999
19119,12096,-555,-32.6
19121,14562,1054,138.0
19123,22975,-668,-29.9
19125,32577,608,29.700000000000006
19127,40399,288,-13.799999999999995
19129,14893,103,55.89999999999999
19131,10715,6,7.600000000000002
19133,9347,-155,-60.3
19135,7904,28,14.199999999999996
19137,11417,-727,-99.5
19139,44131,-1363,-40.7
19143,6891,-453,-74.2
19145,16418,-537,-62.50000000000001
19147,9949,-568,-86.19999999999997
19149,25393,-498,-9.3
19151,8260,-983,-99.3
19153,410307,20475,91.7
19155,91091,1887,19.6
19157,18470,356,28.2
19159,5250,-149,-51.3
19161,11071,-774,-78.8
19163,167984,-2891,-21.1
19165,12697,-589,-19.3
19167,33814,-139,30.800000000000008
19169,84361,4997,343.5
19171,18417,-664,-35.80000000000001
19173,6764,-472,-75.4
19175,12180,294,33.800000000000004
19177,7739,-208,-22.6
19179,36458,-887,-22.8
19181,42138,3913,129.00000000000003
19183,21201,434,12.1
19185,6453,-90,-10.7
19187,40367,-2440,-89.7
19189,11605,-787,-79.2
19191,21379,-419,49.7
19193,110980,-8655,-96.2
19195,7730,-171,-14.899999999999995
19197,14160,-956,-89.89999999999998
20001,14333,-1007,-82.4
20003,8127,-61,-0.3000000000000078
20005,16996,-121,10.4
